county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-02,US Senator,,N,"JARRETT, Jeff",0,0,1,1
County of Hawaii,01-02,US Senator,,R,"CAVASSO, Cam",0,0,7,7
County of Hawaii,01-02,US Senator,,R,"PIRKOWSKI, Eddie",0,0,0,0
County of Hawaii,01-02,US Senator,,R,"ROCO, John",0,0,3,3
County of Hawaii,01-02,US Representative,2,L,"BROCK, Pat",0,0,1,1
County of Hawaii,01-02,US Representative,2,D,"HIRONO, Mazie",0,0,92,92
County of Hawaii,01-02,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,1,1
County of Hawaii,01-02,US Representative,2,R,"GIMBERNAT, Antonio",0,0,1,1
County of Hawaii,01-02,US Representative,2,R,"WHARTON, Ramsay Puanani",0,0,6,6
County of Hawaii,01-02,US Representative,2,R,"WILLOUGHBY, John W.",0,0,3,3
County of Hawaii,01-02,Governor,,D,"ABERCROMBIE, Neil",0,0,65,65
County of Hawaii,01-02,Governor,,D,"HANNEMANN, Mufi",0,0,48,48
County of Hawaii,01-02,Governor,,D,"REYES, Arturo P. (Art)",0,0,0,0
County of Hawaii,01-02,Governor,,D,"SHIRATORI, Miles",0,0,2,2
County of Hawaii,01-02,Governor,,D,"TANABE, Van K.",0,0,0,0
County of Hawaii,01-02,Governor,,F,"CUNNINGHAM, Daniel H.",0,0,0,0
County of Hawaii,01-02,Governor,,N,"CLAPES, Tony",0,0,0,0
County of Hawaii,01-02,Governor,,N,"MANNER, Paul",0,0,0,0
County of Hawaii,01-02,Governor,,N,"POLLARD, Thomas (Tom)",0,0,1,1
County of Hawaii,01-02,Governor,,R,"AIONA, Duke",0,0,13,13
County of Hawaii,01-02,Governor,,R,"CARROLL, John S.",0,0,0,0
County of Hawaii,01-02,Lieutenant Governor,,D,"BERG, Lyla B.",0,0,31,31
County of Hawaii,01-02,Lieutenant Governor,,D,"BUNDA, Robert (Bobby)",0,0,14,14
County of Hawaii,01-02,Lieutenant Governor,,D,"HIRAKAMI, Steve",0,0,4,4
County of Hawaii,01-02,Lieutenant Governor,,D,"HOOSER, Gary L.",0,0,15,15
County of Hawaii,01-02,Lieutenant Governor,,D,"KARAMATSU, Jon Riki",0,0,4,4
County of Hawaii,01-02,Lieutenant Governor,,D,"SAKAMOTO, Norman",0,0,8,8
County of Hawaii,01-02,Lieutenant Governor,,D,"SCHATZ, Brian",0,0,30,30
County of Hawaii,01-02,Lieutenant Governor,,F,"SPENCE, Deborah (Jo B)",0,0,0,0
County of Hawaii,01-02,Lieutenant Governor,,N,"KAMA, Leonard Leo I",0,0,1,1
County of Hawaii,01-02,Lieutenant Governor,,R,"FINNEGAN, Lynn Berbano",0,0,7,7
County of Hawaii,01-02,Lieutenant Governor,,R,"KING, Adrienne S.",0,0,4,4
County of Hawaii,01-02,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,89,89
County of Hawaii,01-02,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,10,10
County of Hawaii,01-03,Straight Party,,,DEMOCRATIC PARTY (D),0,0,431,431
County of Hawaii,01-03,Straight Party,,,FREE ENERGY PARTY (F),0,0,1,1
County of Hawaii,01-03,Straight Party,,,GREEN PARTY (G),0,0,0,0
County of Hawaii,01-03,Straight Party,,,LIBERTARIAN PARTY (L),0,0,1,1
County of Hawaii,01-03,Straight Party,,,NONPARTISAN BALLOT (N),0,0,1,1
County of Hawaii,01-03,Straight Party,,,REPUBLICAN PARTY (R),0,0,31,31
County of Hawaii,01-03,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,0,0
County of Hawaii,01-03,US Senator,,G,"BREWER, Jim",0,0,0,0
County of Hawaii,01-03,US Senator,,D,"INOUYE, Daniel K.",0,0,364,364
County of Hawaii,01-03,US Senator,,D,"WOERNER, Andrew D. (Andy)",0,0,41,41
County of Hawaii,01-03,US Senator,,N,"JARRETT, Jeff",0,0,1,1
County of Hawaii,01-03,US Senator,,R,"CAVASSO, Cam",0,0,17,17
County of Hawaii,01-03,US Senator,,R,"PIRKOWSKI, Eddie",0,0,4,4
County of Hawaii,01-03,US Senator,,R,"ROCO, John",0,0,3,3
County of Hawaii,01-03,US Representative,2,L,"BROCK, Pat",0,0,1,1
County of Hawaii,01-03,US Representative,2,D,"HIRONO, Mazie",0,0,348,348
County of Hawaii,01-03,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,1,1
County of Hawaii,01-03,US Representative,2,R,"GIMBERNAT, Antonio",0,0,4,4
County of Hawaii,01-03,US Representative,2,R,"WHARTON, Ramsay Puanani",0,0,11,11
County of Hawaii,01-03,US Representative,2,R,"WILLOUGHBY, John W.",0,0,8,8
County of Hawaii,01-03,Governor,,D,"ABERCROMBIE, Neil",0,0,268,268
County of Hawaii,01-03,Governor,,D,"HANNEMANN, Mufi",0,0,156,156
County of Hawaii,01-03,Governor,,D,"REYES, Arturo P. (Art)",0,0,1,1
County of Hawaii,01-03,Governor,,D,"SHIRATORI, Miles",0,0,2,2
County of Hawaii,01-03,Governor,,D,"TANABE, Van K.",0,0,0,0
County of Hawaii,01-03,Governor,,F,"CUNNINGHAM, Daniel H.",0,0,1,1
County of Hawaii,01-03,Governor,,N,"CLAPES, Tony",0,0,1,1
County of Hawaii,01-03,Governor,,N,"MANNER, Paul",0,0,0,0
County of Hawaii,01-03,Governor,,N,"POLLARD, Thomas (Tom)",0,0,0,0
County of Hawaii,01-03,Governor,,R,"AIONA, Duke",0,0,29,29
County of Hawaii,01-03,Governor,,R,"CARROLL, John S.",0,0,2,2
County of Hawaii,01-03,Lieutenant Governor,,D,"BERG, Lyla B.",0,0,48,48
County of Hawaii,01-03,Lieutenant Governor,,D,"BUNDA, Robert (Bobby)",0,0,96,96
County of Hawaii,01-03,Lieutenant Governor,,D,"HIRAKAMI, Steve",0,0,5,5
County of Hawaii,01-03,Lieutenant Governor,,D,"HOOSER, Gary L.",0,0,40,40
County of Hawaii,01-03,Lieutenant Governor,,D,"KARAMATSU, Jon Riki",0,0,9,9
County of Hawaii,01-03,Lieutenant Governor,,D,"SAKAMOTO, Norman",0,0,49,49
County of Hawaii,01-03,Lieutenant Governor,,D,"SCHATZ, Brian",0,0,146,146
County of Hawaii,01-03,Lieutenant Governor,,F,"SPENCE, Deborah (Jo B)",0,0,1,1
County of Hawaii,01-03,Lieutenant Governor,,N,"KAMA, Leonard Leo I",0,0,0,0
County of Hawaii,01-03,Lieutenant Governor,,R,"FINNEGAN, Lynn Berbano",0,0,20,20
County of Hawaii,01-03,Lieutenant Governor,,R,"KING, Adrienne S.",0,0,7,7
County of Hawaii,01-03,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,333,333
County of Hawaii,01-03,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,21,21
County of Hawaii,01-04,Straight Party,,,DEMOCRATIC PARTY (D),0,0,576,576
County of Hawaii,01-04,Straight Party,,,FREE ENERGY PARTY (F),0,0,2,2
County of Hawaii,01-04,Straight Party,,,GREEN PARTY (G),0,0,3,3
County of Hawaii,01-04,Straight Party,,,LIBERTARIAN PARTY (L),0,0,1,1
County of Hawaii,01-04,Straight Party,,,NONPARTISAN BALLOT (N),0,0,2,2
County of Hawaii,01-04,Straight Party,,,REPUBLICAN PARTY (R),0,0,49,49
County of Hawaii,01-04,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,0,0
County of Hawaii,01-04,US Senator,,G,"BREWER, Jim",0,0,3,3
County of Hawaii,01-04,US Senator,,D,"INOUYE, Daniel K.",0,0,460,460
County of Hawaii,01-04,US Senator,,D,"WOERNER, Andrew D. (Andy)",0,0,73,73
County of Hawaii,01-04,US Senator,,N,"JARRETT, Jeff",0,0,0,0
County of Hawaii,01-04,US Senator,,R,"CAVASSO, Cam",0,0,19,19
County of Hawaii,01-04,US Senator,,R,"PIRKOWSKI, Eddie",0,0,7,7
County of Hawaii,01-04,US Senator,,R,"ROCO, John",0,0,12,12
County of Hawaii,01-04,US Representative,2,L,"BROCK, Pat",0,0,1,1
County of Hawaii,01-04,US Representative,2,D,"HIRONO, Mazie",0,0,423,423
County of Hawaii,01-04,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,0,0
County of Hawaii,01-04,US Representative,2,R,"GIMBERNAT, Antonio",0,0,3,3
County of Hawaii,01-04,US Representative,2,R,"WHARTON, Ramsay Puanani",0,0,17,17
County of Hawaii,01-04,US Representative,2,R,"WILLOUGHBY, John W.",0,0,20,20
County of Hawaii,01-04,Governor,,D,"ABERCROMBIE, Neil",0,0,363,363
County of Hawaii,01-04,Governor,,D,"HANNEMANN, Mufi",0,0,204,204
County of Hawaii,01-04,Governor,,D,"REYES, Arturo P. (Art)",0,0,6,6
County of Hawaii,01-04,Governor,,D,"SHIRATORI, Miles",0,0,0,0
County of Hawaii,01-04,Governor,,D,"TANABE, Van K.",0,0,2,2
County of Hawaii,01-04,Governor,,F,"CUNNINGHAM, Daniel H.",0,0,1,1
County of Hawaii,01-04,Governor,,N,"CLAPES, Tony",0,0,0,0
County of Hawaii,01-04,Governor,,N,"MANNER, Paul",0,0,0,0
County of Hawaii,01-04,Governor,,N,"POLLARD, Thomas (Tom)",0,0,1,1
County of Hawaii,01-04,Governor,,R,"AIONA, Duke",0,0,43,43
County of Hawaii,01-04,Governor,,R,"CARROLL, John S.",0,0,4,4
County of Hawaii,01-04,Lieutenant Governor,,D,"BERG, Lyla B.",0,0,69,69
County of Hawaii,01-04,Lieutenant Governor,,D,"BUNDA, Robert (Bobby)",0,0,143,143
County of Hawaii,01-04,Lieutenant Governor,,D,"HIRAKAMI, Steve",0,0,10,10
County of Hawaii,01-04,Lieutenant Governor,,D,"HOOSER, Gary L.",0,0,80,80
County of Hawaii,01-04,Lieutenant Governor,,D,"KARAMATSU, Jon Riki",0,0,7,7
County of Hawaii,01-04,Lieutenant Governor,,D,"SAKAMOTO, Norman",0,0,55,55
County of Hawaii,01-04,Lieutenant Governor,,D,"SCHATZ, Brian",0,0,181,181
County of Hawaii,01-04,Lieutenant Governor,,F,"SPENCE, Deborah (Jo B)",0,0,0,0
County of Hawaii,01-04,Lieutenant Governor,,N,"KAMA, Leonard Leo I",0,0,0,0
County of Hawaii,01-04,Lieutenant Governor,,R,"FINNEGAN, Lynn Berbano",0,0,26,26
County of Hawaii,01-04,Lieutenant Governor,,R,"KING, Adrienne S.",0,0,14,14
County of Hawaii,01-04,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,444,444
County of Hawaii,01-04,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,37,37
County of Hawaii,01-05,Straight Party,,,DEMOCRATIC PARTY (D),0,0,246,246
County of Hawaii,01-05,Straight Party,,,FREE ENERGY PARTY (F),0,0,2,2
County of Hawaii,01-05,Straight Party,,,GREEN PARTY (G),0,0,1,1
County of Hawaii,01-05,Straight Party,,,LIBERTARIAN PARTY (L),0,0,0,0
County of Hawaii,01-05,Straight Party,,,NONPARTISAN BALLOT (N),0,0,0,0
County of Hawaii,01-05,Straight Party,,,REPUBLICAN PARTY (R),0,0,15,15
County of Hawaii,01-05,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,0,0
County of Hawaii,01-05,US Senator,,G,"BREWER, Jim",0,0,1,1
County of Hawaii,01-05,US Senator,,D,"INOUYE, Daniel K.",0,0,192,192
County of Hawaii,01-05,US Senator,,D,"WOERNER, Andrew D. (Andy)",0,0,36,36
County of Hawaii,01-05,US Senator,,N,"JARRETT, Jeff",0,0,0,0
County of Hawaii,01-05,US Senator,,R,"CAVASSO, Cam",0,0,8,8
County of Hawaii,01-05,US Senator,,R,"PIRKOWSKI, Eddie",0,0,1,1
County of Hawaii,01-05,US Senator,,R,"ROCO, John",0,0,3,3
County of Hawaii,01-05,US Representative,2,L,"BROCK, Pat",0,0,0,0
County of Hawaii,01-05,US Representative,2,D,"HIRONO, Mazie",0,0,182,182
County of Hawaii,01-05,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,0,0
County of Hawaii,01-05,US Representative,2,R,"GIMBERNAT, Antonio",0,0,0,0
County of Hawaii,01-05,US Representative,2,R,"WHARTON, Ramsay Puanani",0,0,6,6
County of Hawaii,01-05,US Representative,2,R,"WILLOUGHBY, John W.",0,0,7,7
County of Hawaii,01-05,Governor,,D,"ABERCROMBIE, Neil",0,0,149,149
County of Hawaii,01-05,Governor,,D,"HANNEMANN, Mufi",0,0,94,94
County of Hawaii,01-05,Governor,,D,"REYES, Arturo P. (Art)",0,0,0,0
County of Hawaii,01-05,Governor,,D,"SHIRATORI, Miles",0,0,0,0
County of Hawaii,01-05,Governor,,D,"TANABE, Van K.",0,0,0,0
County of Hawaii,01-05,Governor,,F,"CUNNINGHAM, Daniel H.",0,0,2,2
County of Hawaii,01-05,Governor,,N,"CLAPES, Tony",0,0,0,0
County of Hawaii,01-05,Governor,,N,"MANNER, Paul",0,0,0,0
County of Hawaii,01-05,Governor,,N,"POLLARD, Thomas (Tom)",0,0,0,0
County of Hawaii,01-05,Governor,,R,"AIONA, Duke",0,0,13,13
County of Hawaii,01-05,Governor,,R,"CARROLL, John S.",0,0,2,2
County of Hawaii,01-05,Lieutenant Governor,,D,"BERG, Lyla B.",0,0,48,48
County of Hawaii,01-05,Lieutenant Governor,,D,"BUNDA, Robert (Bobby)",0,0,51,51
County of Hawaii,01-05,Lieutenant Governor,,D,"HIRAKAMI, Steve",0,0,5,5
County of Hawaii,01-05,Lieutenant Governor,,D,"HOOSER, Gary L.",0,0,39,39
County of Hawaii,01-05,Lieutenant Governor,,D,"KARAMATSU, Jon Riki",0,0,3,3
County of Hawaii,01-05,Lieutenant Governor,,D,"SAKAMOTO, Norman",0,0,21,21
County of Hawaii,01-05,Lieutenant Governor,,D,"SCHATZ, Brian",0,0,59,59
County of Hawaii,01-05,Lieutenant Governor,,F,"SPENCE, Deborah (Jo B)",0,0,2,2
County of Hawaii,01-05,Lieutenant Governor,,N,"KAMA, Leonard Leo I",0,0,0,0
County of Hawaii,01-05,Lieutenant Governor,,R,"FINNEGAN, Lynn Berbano",0,0,11,11
County of Hawaii,01-05,Lieutenant Governor,,R,"KING, Adrienne S.",0,0,2,2
County of Hawaii,01-05,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,181,181
County of Hawaii,01-05,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,12,12
County of Hawaii,01-06,Straight Party,,,DEMOCRATIC PARTY (D),0,0,198,198
County of Hawaii,01-06,Straight Party,,,FREE ENERGY PARTY (F),0,0,1,1
County of Hawaii,01-06,Straight Party,,,GREEN PARTY (G),0,0,1,1
County of Hawaii,01-06,Straight Party,,,LIBERTARIAN PARTY (L),0,0,0,0
County of Hawaii,01-06,Straight Party,,,NONPARTISAN BALLOT (N),0,0,0,0
County of Hawaii,01-06,Straight Party,,,REPUBLICAN PARTY (R),0,0,30,30
County of Hawaii,01-06,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,0,0
County of Hawaii,01-06,US Senator,,G,"BREWER, Jim",0,0,1,1
County of Hawaii,01-06,US Senator,,D,"INOUYE, Daniel K.",0,0,165,165
County of Hawaii,01-06,US Senator,,D,"WOERNER, Andrew D. (Andy)",0,0,22,22
County of Hawaii,01-06,US Senator,,N,"JARRETT, Jeff",0,0,0,0
County of Hawaii,01-06,US Senator,,R,"CAVASSO, Cam",0,0,13,13
County of Hawaii,01-06,US Senator,,R,"PIRKOWSKI, Eddie",0,0,4,4
County of Hawaii,01-06,US Senator,,R,"ROCO, John",0,0,4,4
County of Hawaii,01-06,US Representative,2,L,"BROCK, Pat",0,0,0,0
County of Hawaii,01-06,US Representative,2,D,"HIRONO, Mazie",0,0,161,161
County of Hawaii,01-06,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,0,0
County of Hawaii,01-06,US Representative,2,R,"GIMBERNAT, Antonio",0,0,1,1
County of Hawaii,01-06,US Representative,2,R,"WHARTON, Ramsay Puanani",0,0,9,9
County of Hawaii,01-06,US Representative,2,R,"WILLOUGHBY, John W.",0,0,8,8
County of Hawaii,01-06,Governor,,D,"ABERCROMBIE, Neil",0,0,122,122
County of Hawaii,01-06,Governor,,D,"HANNEMANN, Mufi",0,0,76,76
County of Hawaii,01-06,Governor,,D,"REYES, Arturo P. (Art)",0,0,0,0
County of Hawaii,01-06,Governor,,D,"SHIRATORI, Miles",0,0,0,0
County of Hawaii,01-06,Governor,,D,"TANABE, Van K.",0,0,0,0
County of Hawaii,01-06,Governor,,F,"CUNNINGHAM, Daniel H.",0,0,1,1
County of Hawaii,01-06,Governor,,N,"CLAPES, Tony",0,0,0,0
County of Hawaii,01-06,Governor,,N,"MANNER, Paul",0,0,0,0
County of Hawaii,01-06,Governor,,N,"POLLARD, Thomas (Tom)",0,0,0,0
County of Hawaii,01-06,Governor,,R,"AIONA, Duke",0,0,28,28
County of Hawaii,01-06,Governor,,R,"CARROLL, John S.",0,0,2,2
County of Hawaii,01-06,Lieutenant Governor,,D,"BERG, Lyla B.",0,0,21,21
County of Hawaii,01-06,Lieutenant Governor,,D,"BUNDA, Robert (Bobby)",0,0,50,50
County of Hawaii,01-06,Lieutenant Governor,,D,"HIRAKAMI, Steve",0,0,6,6
County of Hawaii,01-06,Lieutenant Governor,,D,"HOOSER, Gary L.",0,0,17,17
County of Hawaii,01-06,Lieutenant Governor,,D,"KARAMATSU, Jon Riki",0,0,4,4
County of Hawaii,01-06,Lieutenant Governor,,D,"SAKAMOTO, Norman",0,0,30,30
County of Hawaii,01-06,Lieutenant Governor,,D,"SCHATZ, Brian",0,0,58,58
County of Hawaii,01-06,Lieutenant Governor,,F,"SPENCE, Deborah (Jo B)",0,0,0,0
County of Hawaii,01-06,Lieutenant Governor,,N,"KAMA, Leonard Leo I",0,0,0,0
County of Hawaii,01-06,Lieutenant Governor,,R,"FINNEGAN, Lynn Berbano",0,0,19,19
County of Hawaii,01-06,Lieutenant Governor,,R,"KING, Adrienne S.",0,0,4,4
County of Hawaii,01-06,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,140,140
County of Hawaii,01-06,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,16,16
County of Hawaii,01-07,Straight Party,,,DEMOCRATIC PARTY (D),0,0,204,204
County of Hawaii,01-07,Straight Party,,,FREE ENERGY PARTY (F),0,0,0,0
County of Hawaii,01-07,Straight Party,,,GREEN PARTY (G),0,0,0,0
County of Hawaii,01-07,Straight Party,,,LIBERTARIAN PARTY (L),0,0,1,1
County of Hawaii,01-07,Straight Party,,,NONPARTISAN BALLOT (N),0,0,0,0
County of Hawaii,01-07,Straight Party,,,REPUBLICAN PARTY (R),0,0,13,13
County of Hawaii,01-07,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,1,1
County of Hawaii,01-07,US Senator,,G,"BREWER, Jim",0,0,0,0
County of Hawaii,01-07,US Senator,,D,"INOUYE, Daniel K.",0,0,164,164
County of Hawaii,01-07,US Senator,,D,"WOERNER, Andrew D. (Andy)",0,0,27,27
County of Hawaii,01-07,US Senator,,N,"JARRETT, Jeff",0,0,0,0
County of Hawaii,01-07,US Senator,,R,"CAVASSO, Cam",0,0,4,4
County of Hawaii,01-07,US Senator,,R,"PIRKOWSKI, Eddie",0,0,2,2
County of Hawaii,01-07,US Senator,,R,"ROCO, John",0,0,5,5
County of Hawaii,01-07,US Representative,2,L,"BROCK, Pat",0,0,1,1
County of Hawaii,01-07,US Representative,2,D,"HIRONO, Mazie",0,0,158,158
County of Hawaii,01-07,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,0,0
County of Hawaii,01-07,US Representative,2,R,"GIMBERNAT, Antonio",0,0,1,1
County of Hawaii,01-07,US Representative,2,R,"WHARTON, Ramsay Puanani",0,0,7,7
County of Hawaii,01-07,US Representative,2,R,"WILLOUGHBY, John W.",0,0,1,1
County of Hawaii,01-07,Governor,,D,"ABERCROMBIE, Neil",0,0,124,124
County of Hawaii,01-07,Governor,,D,"HANNEMANN, Mufi",0,0,76,76
County of Hawaii,01-07,Governor,,D,"REYES, Arturo P. (Art)",0,0,2,2
County of Hawaii,01-07,Governor,,D,"SHIRATORI, Miles",0,0,2,2
County of Hawaii,01-07,Governor,,D,"TANABE, Van K.",0,0,0,0
County of Hawaii,01-07,Governor,,F,"CUNNINGHAM, Daniel H.",0,0,0,0
County of Hawaii,01-07,Governor,,N,"CLAPES, Tony",0,0,0,0
County of Hawaii,01-07,Governor,,N,"MANNER, Paul",0,0,0,0
County of Hawaii,01-07,Governor,,N,"POLLARD, Thomas (Tom)",0,0,0,0
County of Hawaii,01-07,Governor,,R,"AIONA, Duke",0,0,12,12
County of Hawaii,01-07,Governor,,R,"CARROLL, John S.",0,0,1,1
County of Hawaii,01-07,Lieutenant Governor,,D,"BERG, Lyla B.",0,0,24,24
County of Hawaii,01-07,Lieutenant Governor,,D,"BUNDA, Robert (Bobby)",0,0,58,58
County of Hawaii,01-07,Lieutenant Governor,,D,"HIRAKAMI, Steve",0,0,3,3
County of Hawaii,01-07,Lieutenant Governor,,D,"HOOSER, Gary L.",0,0,20,20
County of Hawaii,01-07,Lieutenant Governor,,D,"KARAMATSU, Jon Riki",0,0,8,8
County of Hawaii,01-07,Lieutenant Governor,,D,"SAKAMOTO, Norman",0,0,19,19
County of Hawaii,01-07,Lieutenant Governor,,D,"SCHATZ, Brian",0,0,55,55
County of Hawaii,01-07,Lieutenant Governor,,F,"SPENCE, Deborah (Jo B)",0,0,0,0
County of Hawaii,01-07,Lieutenant Governor,,N,"KAMA, Leonard Leo I",0,0,0,0
County of Hawaii,01-07,Lieutenant Governor,,R,"FINNEGAN, Lynn Berbano",0,0,7,7
County of Hawaii,01-07,Lieutenant Governor,,R,"KING, Adrienne S.",0,0,5,5
County of Hawaii,01-07,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,157,157
County of Hawaii,01-07,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,11,11
County of Hawaii,01-08,Straight Party,,,DEMOCRATIC PARTY (D),0,0,69,69
County of Hawaii,01-08,Straight Party,,,FREE ENERGY PARTY (F),0,0,0,0
County of Hawaii,01-08,Straight Party,,,GREEN PARTY (G),0,0,0,0
County of Hawaii,01-08,Straight Party,,,LIBERTARIAN PARTY (L),0,0,0,0
County of Hawaii,01-08,Straight Party,,,NONPARTISAN BALLOT (N),0,0,0,0
County of Hawaii,01-08,Straight Party,,,REPUBLICAN PARTY (R),0,0,6,6
County of Hawaii,01-08,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,0,0
County of Hawaii,01-08,US Senator,,G,"BREWER, Jim",0,0,0,0
County of Hawaii,01-08,US Senator,,D,"INOUYE, Daniel K.",0,0,50,50
County of Hawaii,01-08,US Senator,,D,"WOERNER, Andrew D. (Andy)",0,0,14,14
County of Hawaii,01-08,US Senator,,N,"JARRETT, Jeff",0,0,0,0
County of Hawaii,01-08,US Senator,,R,"CAVASSO, Cam",0,0,2,2
County of Hawaii,01-08,US Senator,,R,"PIRKOWSKI, Eddie",0,0,2,2
