county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-06,U.S. House,2,D,"GABBARD, Tulsi",249,69,255,573
County of Hawaii,01-06,U.S. House,2,L,"KENT, Joe",12,2,15,29
County of Hawaii,01-06,Governor,,R,AIONA / AHU,68,21,117,206
County of Hawaii,01-06,Governor,,L,DAVIS / MARLIN,7,2,14,23
County of Hawaii,01-06,Governor,,I,HANNEMANN / CHANG,34,15,50,99
County of Hawaii,01-06,Governor,,D,IGE / TSUTSUI,200,41,168,409
County of Hawaii,01-06,State Senate,4,D,"INOUYE, Lorraine Rodero",235,67,260,562
County of Hawaii,01-06,State Senate,4,L,"SCHILLER, Alain",45,10,63,118
County of Hawaii,01-06,State Representative,1,D,"NAKASHIMA, Mark M.",240,61,242,543
County of Hawaii,01-06,State Representative,1,L,"WEINERT, Eric Drake",45,15,86,146
County of Hawaii,01-07,U.S. Senate Vacancy,,R,"CAVASSO, Cam",55,18,60,133
County of Hawaii,01-07,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",12,2,15,29
County of Hawaii,01-07,U.S. Senate Vacancy,,D,"SCHATZ, Brian",177,55,283,515
County of Hawaii,01-07,U.S. House,2,R,"CROWLEY, Kawika",38,19,55,112
County of Hawaii,01-07,U.S. House,2,D,"GABBARD, Tulsi",191,59,287,537
County of Hawaii,01-07,U.S. House,2,L,"KENT, Joe",14,2,17,33
County of Hawaii,01-07,Governor,,R,AIONA / AHU,75,20,92,187
County of Hawaii,01-07,Governor,,L,DAVIS / MARLIN,7,3,11,21
County of Hawaii,01-07,Governor,,I,HANNEMANN / CHANG,38,14,74,126
County of Hawaii,01-07,Governor,,D,IGE / TSUTSUI,132,44,190,366
County of Hawaii,01-07,State Senate,1,L,"ARIANOFF, Gregory (Kobata)",45,15,55,115
County of Hawaii,01-07,State Senate,1,D,"KAHELE, Gilbert",189,63,289,541
County of Hawaii,01-07,State Representative,1,D,"NAKASHIMA, Mark M.",184,53,258,495
County of Hawaii,01-07,State Representative,1,L,"WEINERT, Eric Drake",48,25,80,153
County of Hawaii,01-08,U.S. Senate Vacancy,,R,"CAVASSO, Cam",193,71,223,487
County of Hawaii,01-08,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",30,5,33,68
County of Hawaii,01-08,U.S. Senate Vacancy,,D,"SCHATZ, Brian",949,258,780,1987
County of Hawaii,01-08,U.S. House,2,R,"CROWLEY, Kawika",133,53,165,351
County of Hawaii,01-08,U.S. House,2,D,"GABBARD, Tulsi",1043,280,846,2169
County of Hawaii,01-08,U.S. House,2,L,"KENT, Joe",26,5,30,61
County of Hawaii,01-08,Governor,,R,AIONA / AHU,327,107,283,717
County of Hawaii,01-08,Governor,,L,DAVIS / MARLIN,10,1,26,37
County of Hawaii,01-08,Governor,,I,HANNEMANN / CHANG,165,41,171,377
County of Hawaii,01-08,Governor,,D,IGE / TSUTSUI,743,194,591,1528
County of Hawaii,01-08,State Senate,1,L,"ARIANOFF, Gregory (Kobata)",152,46,158,356
County of Hawaii,01-08,State Senate,1,D,"KAHELE, Gilbert",996,270,839,2105
County of Hawaii,01-08,State Representative,1,D,"NAKASHIMA, Mark M.",1000,262,789,2051
County of Hawaii,01-08,State Representative,1,L,"WEINERT, Eric Drake",156,60,193,409
County of Hawaii,01-09,U.S. Senate Vacancy,,R,"CAVASSO, Cam",68,22,90,180
County of Hawaii,01-09,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",6,1,11,18
County of Hawaii,01-09,U.S. Senate Vacancy,,D,"SCHATZ, Brian",312,77,296,685
County of Hawaii,01-09,U.S. House,2,R,"CROWLEY, Kawika",46,19,67,132
County of Hawaii,01-09,U.S. House,2,D,"GABBARD, Tulsi",336,81,325,742
County of Hawaii,01-09,U.S. House,2,L,"KENT, Joe",4,1,11,16
County of Hawaii,01-09,Governor,,R,AIONA / AHU,106,25,150,281
County of Hawaii,01-09,Governor,,L,DAVIS / MARLIN,10,0,8,18
County of Hawaii,01-09,Governor,,I,HANNEMANN / CHANG,42,18,48,108
County of Hawaii,01-09,Governor,,D,IGE / TSUTSUI,245,60,205,510
County of Hawaii,01-09,State Senate,1,L,"ARIANOFF, Gregory (Kobata)",50,16,78,144
County of Hawaii,01-09,State Senate,1,D,"KAHELE, Gilbert",330,85,301,716
County of Hawaii,01-09,State Representative,1,D,"NAKASHIMA, Mark M.",324,83,306,713
County of Hawaii,01-09,State Representative,1,L,"WEINERT, Eric Drake",49,16,70,135
County of Hawaii,02-01,U.S. Senate Vacancy,,R,"CAVASSO, Cam",129,43,113,285
County of Hawaii,02-01,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",28,7,34,69
County of Hawaii,02-01,U.S. Senate Vacancy,,D,"SCHATZ, Brian",676,214,478,1368
County of Hawaii,02-01,U.S. House,2,R,"CROWLEY, Kawika",90,43,84,217
County of Hawaii,02-01,U.S. House,2,D,"GABBARD, Tulsi",743,216,506,1465
County of Hawaii,02-01,U.S. House,2,L,"KENT, Joe",17,5,28,50
County of Hawaii,02-01,Governor,,R,AIONA / AHU,207,67,185,459
County of Hawaii,02-01,Governor,,L,DAVIS / MARLIN,16,3,25,44
County of Hawaii,02-01,Governor,,I,HANNEMANN / CHANG,119,55,100,274
County of Hawaii,02-01,Governor,,D,IGE / TSUTSUI,539,151,326,1016
County of Hawaii,02-01,State Senate,1,L,"ARIANOFF, Gregory (Kobata)",93,52,99,244
County of Hawaii,02-01,State Senate,1,D,"KAHELE, Gilbert",713,201,480,1394
County of Hawaii,02-02,U.S. Senate Vacancy,,R,"CAVASSO, Cam",41,25,64,130
County of Hawaii,02-02,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",8,3,15,26
County of Hawaii,02-02,U.S. Senate Vacancy,,D,"SCHATZ, Brian",235,69,211,515
County of Hawaii,02-02,U.S. House,2,R,"CROWLEY, Kawika",26,14,52,92
County of Hawaii,02-02,U.S. House,2,D,"GABBARD, Tulsi",258,80,230,568
County of Hawaii,02-02,U.S. House,2,L,"KENT, Joe",3,4,13,20
County of Hawaii,02-02,Governor,,R,AIONA / AHU,64,30,94,188
County of Hawaii,02-02,Governor,,L,DAVIS / MARLIN,5,2,3,10
County of Hawaii,02-02,Governor,,I,HANNEMANN / CHANG,34,10,57,101
County of Hawaii,02-02,Governor,,D,IGE / TSUTSUI,192,57,146,395
County of Hawaii,02-02,State Senate,1,L,"ARIANOFF, Gregory (Kobata)",28,15,47,90
County of Hawaii,02-02,State Senate,1,D,"KAHELE, Gilbert",250,80,232,562
County of Hawaii,02-03,U.S. Senate Vacancy,,R,"CAVASSO, Cam",24,15,64,103
County of Hawaii,02-03,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",1,4,14,19
County of Hawaii,02-03,U.S. Senate Vacancy,,D,"SCHATZ, Brian",165,69,338,572
County of Hawaii,02-03,U.S. House,2,R,"CROWLEY, Kawika",25,14,64,103
County of Hawaii,02-03,U.S. House,2,D,"GABBARD, Tulsi",163,72,350,585
County of Hawaii,02-03,U.S. House,2,L,"KENT, Joe",3,1,10,14
County of Hawaii,02-03,Governor,,R,AIONA / AHU,68,22,98,188
County of Hawaii,02-03,Governor,,L,DAVIS / MARLIN,4,3,10,17
County of Hawaii,02-03,Governor,,I,HANNEMANN / CHANG,44,29,97,170
County of Hawaii,02-03,Governor,,D,IGE / TSUTSUI,81,36,224,341
